timestamp,update_count,episodes,total_steps,opponent,avg_reward,avg_length,win_rate,actor_loss,critic_loss,entropy,kl_div,sps
2026-08-01 14:38:30,12,996,24576,self_play_agent,0.141840556447298,23.10112359550562,56.00000000000001,-0.0014151755312923342,0.2498971768654883,1.1891291588544846,0.00462008336398867,141.58877316102559
2026-08-01 14:38:44,13,1085,26624,aggro_agent,0.08179418583912966,22.573033707865168,54.0,-0.0019498341425787657,0.24003697279840708,1.1288041584193707,0.0015716877878730884,142.86713423327674
2026-08-01 14:38:59,14,1169,28672,self_play_agent,0.18964285714285714,24.44047619047619,60.0,-0.0008508413739036769,0.19480418972671032,1.134030781686306,0.0037057855442981236,139.36427426572357
2026-08-01 14:39:13,15,1267,30720,random_agent,0.25203433754454163,21.224489795918366,61.0,-0.0022794272954342887,0.223947839345783,1.0700615104287863,0.004486039992116275,143.2693274045955
2026-08-01 14:39:27,16,1378,32768,random_agent,0.32751322751322753,18.783783783783782,66.0,0.0008822721720207483,0.2639530086889863,1.002770721912384,0.0034354456729488447,144.43401045656393
2026-08-01 14:39:41,17,1491,34816,aggro_agent,0.39064053940160137,18.20353982300885,68.0,-0.0017398989293724298,0.2569974600337446,1.0034696888178587,0.005379860827815719,147.04361161854
2026-08-01 14:39:55,18,1590,36864,self_play_agent,0.4506589706589707,20.2020202020202,71.0,-0.00040576281026005745,0.21278492966666818,0.9879751596599817,0.0025775548310775775,143.8656073968454
2026-08-01 14:40:10,19,1693,38912,aggro_agent,0.4859161658190785,20.29126213592233,72.0,0.0008926421287469566,0.2192552573978901,1.0273177102208138,0.0015640212805010378,138.56277964407903
2026-08-01 14:40:24,20,1779,40960,setup_agent,0.27569029162052416,23.058139534883722,66.0,0.00014137441758066416,0.2313546077348292,1.0557227842509747,0.0024545211908844067,148.4907185074588
2026-08-01 14:40:39,21,1885,43008,greedy_agent,0.5465333932315064,20.047169811320753,75.0,-0.0008319039188791066,0.21271529654040933,0.9797268398106098,0.004132377716814517,145.1106763163467
2026-08-01 14:40:53,22,1985,45056,heuristic_agent,0.43597619047619046,20.75,70.0,-2.3921922547742724e-05,0.19777417182922363,0.9591824878007174,0.0011768892045438406,147.5613048366635
2026-08-01 14:41:07,23,2088,47104,aggro_agent,0.5593111419325012,18.66990291262136,76.0,-0.0029750850226264447,0.20908501837402582,0.9442122466862202,0.0024736607283557532,146.97941304085884
2026-08-01 14:41:20,24,2198,49152,random_agent,0.5536998556998557,19.172727272727272,76.0,-0.0014279830793384463,0.21633960912004113,0.9598353765904903,0.0036480877170106396,146.81737739608766
2026-08-01 14:41:35,25,2315,51200,heuristic_agent,0.38024284357617694,17.564102564102566,68.0,-0.0014136776444502175,0.25729615706950426,0.9542116168886423,0.0022652572579318075,144.47127176977057
2026-08-01 14:41:49,26,2431,53248,setup_agent,0.3783128078817734,17.844827586206897,70.0,-0.0009856457472778857,0.27097052056342363,0.9358862489461899,0.0018667039366846438,144.86676628539152
2026-08-01 14:42:03,27,2538,55296,tactical_agent,0.5273045542204421,18.60747663551402,74.0,-0.001305687997955829,0.22803562646731734,0.9267407339066267,0.003615131881815614,144.1568470660418
2026-08-01 14:42:18,28,2654,57344,aggro_agent,0.4335618500273673,18.310344827586206,72.0,-0.000508096709381789,0.21769610606133938,0.8994644992053509,0.0028254965618543793,137.75369973733746
2026-08-01 14:42:32,29,2759,59392,self_play_agent,0.2990385487528345,18.961904761904762,62.0,-0.0009771390177775174,0.25580001808702946,0.9394779428839684,0.001877545324532548,149.258248483688
2026-08-01 14:42:45,30,2870,61440,setup_agent,0.6828356928356928,18.63063063063063,83.0,0.00016433355631306767,0.23556632874533534,0.9433458838611841,0.001821603516873438,151.80687953723114
2026-08-01 14:43:00,31,2972,63488,heuristic_agent,0.25384531590413945,19.852941176470587,62.0,-0.0009875237010419369,0.23941062670201063,0.9295872505754232,0.002372930244746385,147.81538540324516
2026-08-01 14:43:14,32,3082,65536,self_play_agent,0.49853968253968256,19.136363636363637,73.0,-0.0011586978798732162,0.2137249349616468,0.9169403202831745,0.0023497692909586476,145.2449320292505
2026-08-01 14:43:28,33,3192,67584,greedy_agent,0.5642251082251083,18.636363636363637,79.0,-0.0021170804975554347,0.20175533182919025,0.8792497962713242,0.002402264770353213,149.77281421738766
2026-08-01 14:43:42,34,3290,69632,tactical_agent,0.4278166504697117,20.79591836734694,69.0,-0.0020047700381837785,0.19204768491908908,0.9431598410010338,0.003055520610359963,144.9733091304261
2026-08-01 14:43:56,35,3408,71680,random_agent,0.4897861178369653,17.64406779661017,71.0,-0.0009323375415988266,0.23859835416078568,0.890566986054182,0.0005537791048482177,143.65727227916324
2026-08-01 14:44:11,36,3513,73728,setup_agent,0.46219198790627364,18.904761904761905,70.0,-0.0020157124381512403,0.1994158597663045,0.9171778671443462,0.0017757179666659795,137.76788808158358
2026-08-01 14:44:25,37,3620,75776,tactical_agent,0.5065628245067497,18.962616822429908,75.0,-0.002915078919613734,0.2290023104287684,0.9263328239321709,0.0020121249890507897,147.68838311641744
2026-08-01 14:44:39,38,3729,77824,aggro_agent,0.44252512013979906,18.743119266055047,73.0,-0.00035233510425314307,0.24247782211750746,0.9310963544994593,0.002700335813642596,143.15484707754487
